Category ID,Category,Cookie,Host,Set by,Duration,Days,Purpose / notes,Evidence,Observed expiry
C0001,Strictly Necessary Cookies,OptanonAlertBoxClosed,.rategain.com,OneTrust,1 year,365,Stores the visitor's cookie-consent choices.,OneTrust declared,
C0001,Strictly Necessary Cookies,OptanonConsent,.rategain.com,OneTrust,1 year,365,Stores the visitor's cookie-consent choices.,OneTrust declared,
C0001,Strictly Necessary Cookies,_dc_gtm_UA-xxxxxxxx,rategain.com,Google Tag Manager,Session,0,Used by Google Tag Manager/Analytics to help control tag loading.,OneTrust declared,
C0002,Performance Cookies,_clck,rategain.com,Microsoft Clarity,364 days,364,Microsoft Clarity analytics and session recording support.,OneTrust declared,
C0002,Performance Cookies,_clsk,rategain.com,Microsoft Clarity,Session,0,Microsoft Clarity analytics and session recording support.,OneTrust declared,
C0002,Performance Cookies,_ga,rategain.com,Google Analytics,729 days,729,Google Analytics visitor/session measurement.,OneTrust declared,
C0002,Performance Cookies,_ga_xxxxxxxxxx,rategain.com,Google Analytics,729 days,729,Google Analytics visitor/session measurement.,OneTrust declared,
C0002,Performance Cookies,_gid,rategain.com,Google Analytics,Session,0,Google Analytics visitor/session measurement.,OneTrust declared,
C0002,Performance Cookies,_omappvp,rategain.com,RateGain / site scripts,3998 days,3998,OptinMonster-style visitor persistence as declared in OneTrust.,OneTrust declared,
C0002,Performance Cookies,_uetvid,rategain.com,Microsoft Advertising,389 days,389,Microsoft Advertising/Bing event tracking.,OneTrust declared,
C0003,Functional Cookies,ANONCHK,c.clarity.ms,Microsoft Clarity,Session,0,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,MR,c.clarity.ms,Microsoft Clarity,6 days,6,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,SM,c.clarity.ms,Microsoft Clarity,Session,0,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,MUID,clarity.ms,Microsoft Clarity,389 days,389,Microsoft/Bing visitor identification and advertising/analytics support.,OneTrust declared,
C0003,Functional Cookies,__tld__,rategain.com,Segment-style analytics,Session,0,Segment-style top-level-domain detection as declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,__wpdm_client,rategain.com,WordPress Download Manager,Session,0,Microsoft Clarity analytics and session recording support.,OneTrust declared,
C0003,Functional Cookies,ajs%3Acookies,rategain.com,Segment-style analytics,364 days,364,Segment-style analytics identifier/local domain support as declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,ajs%3Atest,rategain.com,Segment-style analytics,364 days,364,Segment-style analytics identifier/local domain support as declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,ajs_anonymous_id,rategain.com,Segment-style analytics,364 days,364,Segment-style analytics identifier/local domain support as declared in OneTrust.,OneTrust declared,
C0003,Functional Cookies,CLID,www.clarity.ms,Microsoft Clarity,364 days,364,Microsoft Clarity visitor identification.,OneTrust declared,
C0004,Targeting Cookies,MSPTC,bing.com,Microsoft Advertising / Bing,389 days,389,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,MUID,bing.com,Microsoft Advertising / Bing,389 days,389,Microsoft/Bing visitor identification and advertising/analytics support.,OneTrust declared,
C0004,Targeting Cookies,MR,c.bing.com,Microsoft Advertising / Bing,6 days,6,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,SRM_B,c.bing.com,Microsoft Advertising / Bing,389 days,389,Observed after consent; purpose not declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,IDE,doubleclick.net,Google Ads / DoubleClick,729 days,729,Google Ads / DoubleClick advertising measurement.,OneTrust declared,
C0004,Targeting Cookies,test_cookie,doubleclick.net,Google Ads / DoubleClick,Session,0,DoubleClick cookie-support test.,OneTrust declared,
C0004,Targeting Cookies,fr,facebook.com,Meta,89 days,89,Meta advertising delivery and measurement.,OneTrust declared,
C0004,Targeting Cookies,NID,google.com,Google,182 days,182,Google advertising/preferences cookie.,OneTrust declared,
C0004,Targeting Cookies,AnalyticsSyncHistory,linkedin.com,LinkedIn,29 days,29,LinkedIn ads/analytics synchronization.,OneTrust declared,
